,date_jour,code_site,number_of_call_drop_3g,techno
548,20230309,OCI0581,58,3G
549,20230309,OCI0582,63,3G
550,20230309,OCI0583,135,3G
551,20230309,OCI0584,202,3G
552,20230309,OCI0585,71,3G
553,20230309,OCI0586,64,3G
554,20230309,OCI0588,151,3G
555,20230309,OCI0589,58,3G
556,20230309,OCI0590,195,3G
557,20230309,OCI0591,2381,3G
558,20230309,OCI0592,61,3G
559,20230309,OCI0593,55,3G
560,20230309,OCI0594,83,3G
561,20230309,OCI0595,60,3G
562,20230309,OCI0596,73,3G
563,20230309,OCI0598,53,3G
564,20230309,OCI0599,61,3G
565,20230309,OCI0601,200,3G
566,20230309,OCI0602,121,3G
567,20230309,OCI0603,32,3G
568,20230309,OCI0605,123,3G
569,20230309,OCI0606,84,3G
570,20230309,OCI0607,214,3G
571,20230309,OCI0608,61,3G
572,20230309,OCI0609,118,3G
573,20230309,OCI0610,121,3G
574,20230309,OCI0611,77,3G
575,20230309,OCI0612,57,3G
576,20230309,OCI0613,98,3G
577,20230309,OCI0614,82,3G
578,20230309,OCI0615,52,3G
579,20230309,OCI0616,181,3G
580,20230309,OCI0617,50,3G
581,20230309,OCI0618,229,3G
582,20230309,OCI0619,367,3G
583,20230309,OCI0620,568,3G
584,20230309,OCI0621,94,3G
585,20230309,OCI0622,62,3G
586,20230309,OCI0623,285,3G
587,20230309,OCI0624,68,3G
588,20230309,OCI0626,67,3G
589,20230309,OCI0627,217,3G
590,20230309,OCI0628,281,3G
591,20230309,OCI0629,170,3G
592,20230309,OCI0630,76,3G
593,20230309,OCI0631,127,3G
594,20230309,OCI0632,185,3G
595,20230309,OCI0633,85,3G
596,20230309,OCI0634,89,3G
597,20230309,OCI0635,38,3G
598,20230309,OCI0636,164,3G
599,20230309,OCI0637,90,3G
600,20230309,OCI0639,60,3G
601,20230309,OCI0641,107,3G
602,20230309,OCI0642,159,3G
603,20230309,OCI0643,45,3G
604,20230309,OCI0644,28,3G
605,20230309,OCI0645,147,3G
606,20230309,OCI0646,315,3G
607,20230309,OCI0647,75,3G
608,20230309,OCI0648,255,3G
609,20230309,OCI0649,158,3G
610,20230309,OCI0651,73,3G
611,20230309,OCI0652,68,3G
612,20230309,OCI0653,32,3G
613,20230309,OCI0654,86,3G
614,20230309,OCI0655,301,3G
615,20230309,OCI0656,189,3G
616,20230309,OCI0657,288,3G
617,20230309,OCI0658,42,3G
618,20230309,OCI0659,169,3G
619,20230309,OCI0660,54,3G
620,20230309,OCI0661,424,3G
621,20230309,OCI0662,116,3G
622,20230309,OCI0663,47,3G
623,20230309,OCI0664,94,3G
624,20230309,OCI0665,84,3G
625,20230309,OCI0666,293,3G
626,20230309,OCI0667,398,3G
627,20230309,OCI0668,120,3G
628,20230309,OCI0669,594,3G
629,20230309,OCI0670,159,3G
630,20230309,OCI0671,143,3G
631,20230309,OCI0672,98,3G
632,20230309,OCI0673,39,3G
633,20230309,OCI0674,416,3G
634,20230309,OCI0675,46,3G
635,20230309,OCI0676,97,3G
636,20230309,OCI0677,106,3G
637,20230309,OCI0678,38,3G
638,20230309,OCI0679,169,3G
639,20230309,OCI0680,79,3G
640,20230309,OCI0681,464,3G
641,20230309,OCI0682,260,3G
642,20230309,OCI0683,72,3G
643,20230309,OCI0684,107,3G
644,20230309,OCI0685,248,3G
645,20230309,OCI0686,104,3G
646,20230309,OCI0687,508,3G
647,20230309,OCI0688,358,3G
648,20230309,OCI0689,219,3G
649,20230309,OCI0690,91,3G
650,20230309,OCI0691,80,3G
651,20230309,OCI0692,86,3G
652,20230309,OCI0693,7,3G
653,20230309,OCI0694,94,3G
654,20230309,OCI0695,52,3G
655,20230309,OCI0697,136,3G
656,20230309,OCI0698,44,3G
657,20230309,OCI0699,94,3G
658,20230309,OCI0700,63,3G
659,20230309,OCI0701,112,3G
660,20230309,OCI0702,110,3G
661,20230309,OCI0703,445,3G
662,20230309,OCI0704,34,3G
663,20230309,OCI0705,25,3G
664,20230309,OCI0706,17,3G
665,20230309,OCI0707,324,3G
666,20230309,OCI0708,26,3G
667,20230309,OCI0709,58,3G
668,20230309,OCI0711,195,3G
669,20230309,OCI0712,216,3G
670,20230309,OCI0713,48,3G
671,20230309,OCI0715,187,3G
672,20230309,OCI0716,60,3G
673,20230309,OCI0717,73,3G
674,20230309,OCI0718,148,3G
675,20230309,OCI0719,123,3G
676,20230309,OCI0720,108,3G
677,20230309,OCI0721,114,3G
678,20230309,OCI0722,186,3G
679,20230309,OCI0723,124,3G
680,20230309,OCI0724,149,3G
681,20230309,OCI0725,200,3G
682,20230309,OCI0726,113,3G
683,20230309,OCI0727,693,3G
684,20230309,OCI0728,117,3G
685,20230309,OCI0729,167,3G
686,20230309,OCI0730,49,3G
687,20230309,OCI0731,0,3G
688,20230309,OCI0732,4,3G
689,20230309,OCI0741,0,3G
690,20230309,OCI0744,7,3G
691,20230309,OCI0750,176,3G
692,20230309,OCI0751,333,3G
693,20230309,OCI0752,131,3G
694,20230309,OCI0753,64,3G
695,20230309,OCI0754,444,3G
696,20230309,OCI0755,309,3G
697,20230309,OCI0756,76,3G
698,20230309,OCI0757,93,3G
699,20230309,OCI0759,79,3G
700,20230309,OCI0760,46,3G
701,20230309,OCI0761,76,3G
702,20230309,OCI0762,34,3G
703,20230309,OCI0763,311,3G
704,20230309,OCI0764,105,3G
705,20230309,OCI0765,225,3G
706,20230309,OCI0766,151,3G
707,20230309,OCI0767,92,3G
708,20230309,OCI0768,51,3G
709,20230309,OCI0769,101,3G
710,20230309,OCI0771,106,3G
711,20230309,OCI0772,302,3G
712,20230309,OCI0773,74,3G
713,20230309,OCI0774,45,3G
714,20230309,OCI0775,261,3G
715,20230309,OCI0776,61,3G
716,20230309,OCI0778,128,3G
717,20230309,OCI0779,32,3G
718,20230309,OCI0780,99,3G
719,20230309,OCI0781,584,3G
720,20230309,OCI0782,18,3G
721,20230309,OCI0783,12,3G
722,20230309,OCI0784,119,3G
723,20230309,OCI0785,18,3G
724,20230309,OCI0786,278,3G
725,20230309,OCI0787,322,3G
726,20230309,OCI0788,87,3G
727,20230309,OCI0790,93,3G
728,20230309,OCI0791,237,3G
729,20230309,OCI0792,313,3G
730,20230309,OCI0793,40,3G
731,20230309,OCI0794,52,3G
732,20230309,OCI0795,57,3G
733,20230309,OCI0796,548,3G
734,20230309,OCI0797,55,3G
735,20230309,OCI0798,101,3G
736,20230309,OCI0799,51,3G
737,20230309,OCI0800,425,3G
738,20230309,OCI0801,38,3G
739,20230309,OCI0802,200,3G
740,20230309,OCI0803,50,3G
741,20230309,OCI0804,47,3G
742,20230309,OCI0805,208,3G
743,20230309,OCI0806,141,3G
744,20230309,OCI0807,71,3G
745,20230309,OCI0808,346,3G
746,20230309,OCI0809,269,3G
747,20230309,OCI0810,455,3G
748,20230309,OCI0811,186,3G
749,20230309,OCI0812,35,3G
750,20230309,OCI0813,61,3G
751,20230309,OCI0814,194,3G
752,20230309,OCI0815,159,3G
753,20230309,OCI0816,152,3G
754,20230309,OCI0818,84,3G
755,20230309,OCI0819,291,3G
756,20230309,OCI0820,74,3G
757,20230309,OCI0821,0,3G
758,20230309,OCI0823,88,3G
759,20230309,OCI0824,99,3G
760,20230309,OCI0825,58,3G
761,20230309,OCI0826,332,3G
762,20230309,OCI0827,30,3G
763,20230309,OCI0828,138,3G
764,20230309,OCI0829,156,3G
765,20230309,OCI0830,27,3G
766,20230309,OCI0831,301,3G
767,20230309,OCI0832,439,3G
768,20230309,OCI0833,90,3G
769,20230309,OCI0834,143,3G
770,20230309,OCI0835,80,3G
771,20230309,OCI0836,685,3G
772,20230309,OCI0837,377,3G
773,20230309,OCI0838,70,3G
774,20230309,OCI0839,109,3G
775,20230309,OCI0840,73,3G
776,20230309,OCI0841,142,3G
777,20230309,OCI0842,274,3G
778,20230309,OCI0843,41,3G
779,20230309,OCI0844,80,3G
780,20230309,OCI0845,85,3G
781,20230309,OCI0847,45,3G
782,20230309,OCI0848,210,3G
783,20230309,OCI0849,83,3G
784,20230309,OCI0850,62,3G
785,20230309,OCI0851,298,3G
786,20230309,OCI0852,208,3G
787,20230309,OCI0854,75,3G
788,20230309,OCI0855,105,3G
789,20230309,OCI0856,175,3G
790,20230309,OCI0857,288,3G
791,20230309,OCI0858,413,3G
792,20230309,OCI0859,158,3G
793,20230309,OCI0860,187,3G
794,20230309,OCI0861,120,3G
795,20230309,OCI0862,161,3G
796,20230309,OCI0863,101,3G
797,20230309,OCI0864,77,3G
798,20230309,OCI0865,50,3G
799,20230309,OCI0866,247,3G
800,20230309,OCI0867,38,3G
