,date_jour,code_site,trafic_voix,trafic_data,techno
422,20230223,OCI0150,254.56,35.03,3G
423,20230223,OCI0150,,127.294162,4G
424,20230223,OCI0151,179.13,0.21715844,2G
425,20230223,OCI0151,72.1,15.64,3G
426,20230223,OCI0151,,27.156958,4G
427,20230223,OCI0152,672.4,0.37164389,2G
428,20230223,OCI0152,255.18,54.6,3G
429,20230223,OCI0152,,86.3635030000001,4G
430,20230223,OCI0153,797.76,0.39540561,2G
431,20230223,OCI0153,434.89,69.58,3G
432,20230223,OCI0153,,117.04737,4G
433,20230223,OCI0154,165.84,0.01261596,2G
434,20230223,OCI0154,159.97,57.05,3G
435,20230223,OCI0155,823.09,0.50444693,2G
436,20230223,OCI0155,279.17,54.02,3G
437,20230223,OCI0155,,122.939726,4G
438,20230223,OCI0156,257.48,0.49224518,2G
439,20230223,OCI0156,99.46,23.86,3G
440,20230223,OCI0156,,13.204373,4G
441,20230223,OCI0157,76.38,0.08667281,2G
442,20230223,OCI0157,93.4899999999999,13.8,3G
443,20230223,OCI0157,,44.149697,4G
444,20230223,OCI0158,598.27,0.64422852,2G
445,20230223,OCI0158,168.06,24.6,3G
446,20230223,OCI0158,,130.02816,4G
447,20230223,OCI0159,1294.81,0.15060376,2G
448,20230223,OCI0159,292.06,67.6700000000001,3G
449,20230223,OCI0159,,52.35097,4G
450,20230223,OCI0160,517.68,0.22147303,2G
451,20230223,OCI0160,250.41,43.04,3G
452,20230223,OCI0161,578.68,2.18549872,2G
453,20230223,OCI0161,1498.11,220.41,3G
454,20230223,OCI0161,,1300.944258,4G
455,20230223,OCI0162,194.54,0.51335488,2G
456,20230223,OCI0162,118.47,40.17,3G
457,20230223,OCI0162,,62.410852,4G
458,20230223,OCI0163,870.09,1.36144648,2G
459,20230223,OCI0163,2090.97,291.06,3G
460,20230223,OCI0163,,1153.440626,4G
461,20230223,OCI0164,327.67,0.15457457,2G
462,20230223,OCI0164,72.39,10.82,3G
463,20230223,OCI0164,,24.927893,4G
464,20230223,OCI0165,272.3,0.58116986,2G
